TrainingSlot,ValidationSlot,Sensor,Min,Max,Std,Avg,
39,27,BV,23369,38386,"2,343.75","30,219.84",
38,25,TV,23127,36992,"2,889.37","30,246.47",
3,13,RI,20106,43605,"4,620.08","30,252.93",
38,1,LV,25335,36376,"1,937.05","30,253.18",
39,28,BV,21816,36182,"2,084.10","30,254.09",
13,16,TI,18189,63776,"5,718.58","30,262.15",
26,16,BV,16432,62721,"7,382.74","30,264.87",
2,16,RI,18374,39973,"3,793.52","30,280.24",
3,26,BI,17097,44584,"5,136.75","30,282.69",
37,40,LI,17478,64546,"5,761.73","30,283.64",
26,2,LV,23038,43807,"3,838.33","30,288.29",
25,28,TV,17003,42772,"4,083.53","30,297.00",
25,2,RV,24887,37893,"2,423.65","30,302.47",
25,39,TI,19520,45672,"5,610.95","30,318.22",
13,3,BI,22760,41083,"3,551.19","30,320.96",
13,40,BI,24601,47983,"3,183.17","30,331.26",
3,25,RV,22917,43468,"3,840.96","30,331.41",
27,4,RV,20831,36983,"3,044.71","30,350.79",
40,25,LI,15298,50086,"6,572.07","30,351.18",
40,38,TV,21608,40973,"3,834.31","30,358.82",
27,2,BI,20456,42398,"4,073.41","30,359.76",
26,15,RV,25422,35780,"2,048.33","30,366.27",
38,14,BV,19408,52853,"6,583.30","30,374.86",
39,14,RV,25444,36274,"2,187.18","30,388.49",
37,27,BV,23324,38177,"2,825.48","30,397.96",
3,27,TV,9502,37773,"2,847.67","30,412.86",
1,39,BI,20251,49794,"4,004.14","30,420.77",
28,2,LI,14615,51137,"7,173.66","30,435.08",
40,27,RI,25294,36409,"2,304.76","30,437.46",
2,39,TV,23044,36374,"1,655.00","30,443.44",
27,39,BI,22299,52968,"3,575.55","30,444.92",
39,14,LV,23257,39100,"3,449.54","30,456.70",
